K,P,SAX_LEVEL,Time,VL,PL
5,2,3,0.47676897048950195,22.223831304900365,0.16956357767461105
5,2,5,0.6146650314331055,18.593057740580438,0.15395765947251913
5,2,8,1.1672699451446533,15.963091912338143,0.14398883133328577
5,2,10,1.3630080223083496,16.17869288736452,0.1459294514998275
5,2,15,1.790668249130249,15.835315592628625,0.13889667679577994
5,2,20,2.21264910697937,15.241253617675161,0.13878023041138202
5,3,3,0.48198604583740234,22.115051400702534,0.16956357767461105
5,3,5,0.600430965423584,18.84410363782153,0.1541004167277454
5,3,8,0.8171310424804688,17.39181599396074,0.14495431191713193
5,3,10,0.9372940063476562,17.447069219162227,0.1470103245876724
5,3,15,1.159566879272461,16.546969395302558,0.13994530846564837
5,3,20,1.532782793045044,15.768465653325809,0.1399269849741964
5,5,3,0.519294261932373,22.38816618155988,0.16956357767461105
5,5,5,0.461651086807251,18.465129166699686,0.15508248132758104
5,5,8,0.5617711544036865,16.994220592972116,0.14632328759103055
5,5,10,0.6272482872009277,16.841281309622783,0.14858836791936192
5,5,15,0.7515490055084229,16.100984437603923,0.1416006236261541
5,5,20,0.9465551376342773,15.334895682722884,0.1415128041091949
5,8,3,0.47414612770080566,23.871485977233114,0.16956357767461105
5,8,5,0.5470099449157715,20.381153140129626,0.1558795984551386
5,8,8,0.5861830711364746,19.16028073268807,0.14772235032307934
5,8,10,0.6500720977783203,18.71615335668988,0.14989148000263194
5,8,15,0.8234341144561768,18.102741459357386,0.14322736840614614
5,8,20,1.039458990097046,16.945612840669657,0.14313673559165382
10,2,3,0.4824178218841553,24.264677829463235,0.16956357767461105
10,2,5,0.6789162158966064,21.448508851981483,0.15395765947251913
10,2,8,1.2538979053497314,18.928808033729574,0.14398883133328563
10,2,10,1.5102207660675049,19.36946742244942,0.14592945149982745
10,2,15,1.8827629089355469,18.327170903737304,0.13889667679578002
10,2,20,2.417802095413208,17.267850851234947,0.13878023041138227
10,3,3,0.4755871295928955,24.2717652796768,0.16956357767461105
10,3,5,0.6341450214385986,21.929967798048256,0.15410041672774538
10,3,8,0.9921619892120361,19.575679457208754,0.14495431191713212
10,3,10,1.0239968299865723,19.809032122685913,0.14701032458767227
10,3,15,1.3977000713348389,18.875874594797214,0.13994530846564854
10,3,20,2.184748888015747,17.841679276797464,0.13992698497419634
10,5,3,0.5147850513458252,24.30225518310329,0.16956357767461105
10,5,5,0.7879729270935059,22.561534175996893,0.155082481327581
10,5,8,0.9677400588989258,20.661990515929087,0.1463232875910304
10,5,10,0.8412148952484131,20.672744542013188,0.14858836791936175
10,5,15,1.30619478225708,19.780382346690622,0.14160062362615405
10,5,20,1.3926308155059814,18.338675600839657,0.1415128041091951
10,8,3,0.4928321838378906,25.095005438400513,0.16956357767461105
10,8,5,0.5345358848571777,22.888846536421983,0.15587959845513863
10,8,8,0.6200172901153564,21.303293019335825,0.14772235032307943
10,8,10,0.7263491153717041,20.789623948979212,0.149891480002632
10,8,15,0.9037368297576904,20.005283511957675,0.14322736840614603
10,8,20,1.1616768836975098,18.58329548274752,0.1431367355916538
20,2,3,0.533541202545166,26.694047301046503,0.16956357767461103
20,2,5,0.7185089588165283,23.477686579617615,0.15395765947251908
20,2,8,1.352621078491211,21.40788810452032,0.14398883133328583
20,2,10,1.5849599838256836,21.125683656528345,0.14592945149982764
20,2,15,2.1490492820739746,20.406986617722637,0.13889667679578
20,2,20,2.50610089302063,19.05313912713037,0.13878023041138207
20,3,3,0.49686598777770996,26.916733461416648,0.16956357767461103
20,3,5,0.6675698757171631,24.11904712452059,0.15410041672774533
20,3,8,1.0384719371795654,22.021604880789532,0.14495431191713215
20,3,10,1.1616442203521729,21.456707791935415,0.14701032458767238
20,3,15,1.3848776817321777,20.7100165353447,0.1399453084656485
20,3,20,1.814682960510254,19.47173416338826,0.1399269849741966
20,5,3,0.5077102184295654,26.75174270057473,0.16956357767461103
20,5,5,0.5804800987243652,24.451037342998426,0.15508248132758082
20,5,8,0.7502040863037109,22.640887812494118,0.14632328759103033
20,5,10,0.8500280380249023,21.9773426363814,0.14858836791936175
20,5,15,1.1694259643554688,21.599646012907534,0.141600623626154
20,5,20,1.4321351051330566,20.179821147901713,0.14151280410919503
20,8,3,0.4822711944580078,26.96436153132209,0.16956357767461103
20,8,5,0.557811975479126,24.43408383435554,0.15587959845513857
20,8,8,0.667478084564209,23.213391346139172,0.1477223503230794
20,8,10,0.7536728382110596,22.17224295229893,0.1498914800026319
20,8,15,0.9620108604431152,21.776135963500504,0.1432273684061464
20,8,20,1.2450110912322998,20.093595852142403,0.14313673559165374
50,2,3,0.51214599609375,28.82116912471187,0.16956357767461078
50,2,5,0.7352828979492188,25.385812422852425,0.15395765947251913
50,2,8,1.3335318565368652,24.303812781648148,0.14398883133328544
50,2,10,1.5841929912567139,22.716955564700925,0.1459294514998271
50,2,15,2.097874879837036,22.104978706446893,0.13889667679577988
50,2,20,2.579869031906128,21.413181273450377,0.13878023041138235
50,3,3,0.5326368808746338,29.072296213284677,0.16956357767461078
